,Compound_name,Molecular_weight,Polar_surface_area,Complexity,Partition_coef,Heavy_atom_count,H_bond_donor_count,H_bond_acceptor_count,Rotatable_bond_count,Exact_mass,Monoisotopic_mass,Formal_charge,Cov-bonded_unit_count,Isotope_atom_count,Total_atom_stereo_count,Defined_atom_stereo_count,Undefined_atoms_stereo_count,Total_bond_stereo_count,Defined_bond_stereo_count,Undefined_bond_stereo_count,Part_coef_group
0,Calcitriol,416.6,60.7,688.0,5.1,30,3,3,6,416.329,416.329,0,1,0,6,6,0,2,2,0,Larger than 6
1,Ubiquinol,865.4,58.9,1600.0,20.2,63,2,4,31,864.7,864.7,0,1,0,0,0,0,9,9,0,Larger than 6
2,Glutamine,146.14,106.0,146.0,-3.1,10,3,4,4,146.069,146.069,0,1,0,1,1,0,0,0,0,Between -11 and 5
3,Aspirin,180.16,63.6,212.0,1.2,13,1,4,3,180.042,180.042,0,1,0,0,0,0,0,0,0,Between -11 and 5
4,1-Methylnicotinamide,137.16,47.0,136.0,-0.1,10,1,1,1,137.071,137.071,1,1,0,0,0,0,0,0,0,Between -11 and 5
5,Losartan,422.9,92.5,520.0,4.3,30,2,5,8,422.162,422.162,0,1,0,0,0,0,0,0,0,Between -11 and 5
6,Vitamin E,430.7,29.5,503.0,10.7,31,1,2,12,430.381,430.381,0,1,0,3,3,0,0,0,0,Larger than 6
7,Nicotinamide,122.12,56.0,114.0,-0.4,9,1,2,1,122.048,122.048,0,1,0,0,0,0,0,0,0,Between -11 and 5
8,Adenosine,267.24,140.0,335.0,-1.1,19,4,8,2,267.097,267.097,0,1,0,4,4,0,0,0,0,Between -11 and 5
9,Inosine,268.23,129.0,405.0,-1.3,19,4,7,2,268.081,268.081,0,1,0,4,4,0,0,0,0,Between -11 and 5
10,Nicotinamide riboside,255.25,117.0,314.0,-1.8,18,4,5,3,255.098,255.098,1,1,0,4,4,0,0,0,0,Between -11 and 5
11,Dimethyl Fumarate,144.12,52.6,141.0,0.7,10,0,4,4,144.042,144.042,0,1,0,0,0,0,1,1,0,Between -11 and 5
12,Inosinic acid,348.21,176.0,555.0,-3.0,23,5,10,4,348.047,348.047,0,1,0,4,4,0,0,0,0,Between -11 and 5
13,Acetyl-L-carnitine,203.24,66.4,214.0,0.4,14,0,4,5,203.116,203.116,0,1,0,1,1,0,0,0,0,Between -11 and 5
14,Camostat,398.4,137.0,602.0,1.1,29,2,6,9,398.159,398.159,0,1,0,0,0,0,0,0,0,Between -11 and 5
15,Estradiol,272.4,40.5,382.0,4.0,20,2,2,0,272.178,272.178,0,1,0,5,5,0,0,0,0,Between -11 and 5
16,Aspartic Acid,133.1,101.0,133.0,-2.8,9,3,5,3,133.038,133.038,0,1,0,1,1,0,0,0,0,Between -11 and 5
17,Ribavirin,244.2,144.0,304.0,-1.8,17,4,7,3,244.081,244.081,0,1,0,4,4,0,0,0,0,Between -11 and 5
18,Angiotensin (1-7),899.0,380.0,1660.0,-3.0,64,12,14,25,898.466,898.466,0,1,0,8,8,0,0,0,0,Between -11 and 5
19,alpha-Maltose,342.3,190.0,382.0,-4.7,23,8,11,4,342.116,342.116,0,1,0,10,10,0,0,0,0,Between -11 and 5
20,Ambrisentan,378.4,81.5,475.0,3.8,28,1,6,7,378.158,378.158,0,1,0,1,1,0,0,0,0,Between -11 and 5
21,Ciclosporin,1202.6,279.0,2330.0,7.5,85,5,12,15,1201.84,1201.84,0,1,0,12,12,0,1,1,0,Larger than 6
22,Ergocalciferol,396.6,20.2,678.0,7.4,29,1,1,5,396.339,396.339,0,1,0,6,6,0,3,3,0,Larger than 6
23,Docosahexaenoic Acid,328.5,37.3,462.0,6.2,24,1,2,14,328.24,328.24,0,1,0,0,0,0,6,6,0,Larger than 6
24,Tacrolimus,804.0,178.0,1480.0,2.7,57,3,12,7,803.482,803.482,0,1,0,14,14,0,2,2,0,Between -11 and 5
25,Budesonide,430.5,93.1,862.0,2.5,31,2,6,4,430.236,430.236,0,1,0,9,8,1,0,0,0,Between -11 and 5
26,Calcifediol,400.6,40.5,655.0,6.2,29,2,2,6,400.334,400.334,0,1,0,5,5,0,2,2,0,Larger than 6
27,Cepharanthine,606.7,61.9,994.0,6.5,45,0,8,2,606.273,606.273,0,1,0,2,2,0,0,0,0,Larger than 6
28,Cholecalciferol,384.6,20.2,610.0,7.9,28,1,1,6,384.339,384.339,0,1,0,5,5,0,2,2,0,Larger than 6
29,Coenzyme Q10,863.3,52.6,1840.0,19.4,63,0,4,31,862.684,862.684,0,1,0,0,0,0,9,9,0,Larger than 6
30,Tacrolimus monohydrate,822.0,179.0,1480.0,,58,4,13,7,821.493,821.493,0,2,0,14,14,0,2,2,0,Larger than 6
31,Alisporivir,1216.6,279.0,2360.0,7.9,86,5,12,15,1215.86,1215.86,0,1,0,13,13,0,1,1,0,Larger than 6
32,Pacritinib,472.6,68.7,644.0,3.8,35,1,7,4,472.247,472.247,0,1,0,0,0,0,1,1,0,Between -11 and 5
33,Topotecan,421.4,103.0,867.0,0.5,31,2,7,3,421.164,421.164,0,1,0,1,1,0,0,0,0,Between -11 and 5
34,Voclosporin,1214.6,279.0,2380.0,7.9,86,5,12,16,1213.84,1213.84,0,1,0,12,12,0,1,1,0,Larger than 6
35,"(1R,4S,5'S,6R,6'R,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-[(2R)-Butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,20,0,3,3,0,Between -11 and 5
36,Oxytocin,1007.2,450.0,1870.0,-2.6,69,12,15,17,1006.44,1006.44,0,1,0,9,9,0,0,0,0,Between -11 and 5
37,"(1R,4S,6R,10E,14E,16E,21R)-6'-butan-2-yl-21,24-dihydroxy-12-[(2R,4S,6S)-5-[(2S,4S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,10,10,3,3,0,Between -11 and 5
38,"Manganese, dichloro((4aS,13aS,17aS,21aS)-1,2,3,4,4a,5,6,12,13,13a,14,15,16,17,17a,18,19,20,21,21a-eicosahydro-7,11-nitrilo-7H-dibenzo(b,H)-5,13,18,21-tetraazacycloheptadecine-kappaN5,kappaN13,kappaN18,kappaN21,kappaN22)-, (pb-7-11-2344'3')-",483.4,61.0,381.0,,29,4,7,0,482.165,482.165,0,4,0,4,4,0,0,0,0,Larger than 6
39,Ivermectin B1a,875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,20,0,3,3,0,Between -11 and 5
40,Dipyridamole,504.6,145.0,561.0,0.7,36,4,12,12,504.317,504.317,0,1,0,0,0,0,0,0,0,Between -11 and 5
41,Tetrandrine,622.7,61.9,979.0,6.4,46,0,8,4,622.304,622.304,0,1,0,2,2,0,0,0,0,Larger than 6
42,Sirolimus,914.2,195.0,1760.0,6.0,65,3,13,6,913.555,913.555,0,1,0,15,15,0,4,4,0,Larger than 6
43,Iloprost,360.5,77.8,606.0,2.8,26,3,4,8,360.23,360.23,0,1,0,6,5,1,2,2,0,Between -11 and 5
44,Ramipril,416.5,95.9,619.0,1.4,30,2,6,10,416.231,416.231,0,1,0,5,5,0,0,0,0,Between -11 and 5
45,Prasugrel hydrochloride,409.9,74.8,555.0,,27,1,6,6,409.091,409.091,0,2,0,1,0,1,0,0,0,Larger than 6
46,Uproleselan,1304.5,383.0,1870.0,-2.0,90,9,27,52,1303.72,1303.72,0,1,0,15,15,0,0,0,0,Between -11 and 5
47,MET-enkephalin,573.7,225.0,847.0,-2.1,40,7,9,16,573.226,573.226,0,1,0,3,3,0,0,0,0,Between -11 and 5
48,"(18Z)-1,14-dihydroxy-12-[(E)-1-(4-hydroxy-3-methoxycyclohexyl)prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone",804.0,178.0,1480.0,2.7,57,3,12,7,803.482,803.482,0,1,0,14,0,14,2,2,0,Between -11 and 5
49,"(1R,4S,5'S,6R,6'R,8R,10E,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,19,1,3,3,0,Between -11 and 5
50,Plitidepsin,1110.3,285.0,2200.0,5.7,79,4,15,15,1109.63,1109.63,0,1,0,12,12,0,0,0,0,Larger than 6
51,"(10Z,14Z,16Z)-6'-butan-2-yl-21,24-dihydroxy-12-[5-(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,0,20,3,3,0,Between -11 and 5
52,"(1R,4S,5'S,6R,6'R,8R,12S,13S,20R,21R,24S)-6'-[(2R)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,20,0,3,0,3,Between -11 and 5
53,Rubramin,1355.4,476.0,3220.0,,93,9,21,16,1354.57,1354.57,-3,3,0,14,14,0,3,3,0,Larger than 6
54,"(1R,4S,5'S,6R,6'S,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,20,0,3,3,0,Between -11 and 5
55,Zidovudine,267.24,93.2,484.0,0.0,19,2,6,3,267.097,267.097,0,1,0,3,3,0,0,0,0,Between -11 and 5
56,Resveratrol,228.24,60.7,246.0,3.1,17,3,3,2,228.079,228.079,0,1,0,0,0,0,1,1,0,Between -11 and 5
57,Curcumin,368.4,93.1,507.0,3.2,27,2,6,8,368.126,368.126,0,1,0,0,0,0,2,2,0,Between -11 and 5
58,"6'-Butan-2-yl-21,24-dihydroxy-12-[5-(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,0,20,3,0,3,Between -11 and 5
59,Regorafenib,482.8,92.4,686.0,4.2,33,3,8,5,482.077,482.077,0,1,0,0,0,0,0,0,0,Between -11 and 5
60,Pharmakon1600-01300027,875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,17,3,3,3,0,Between -11 and 5
61,"(1R,4S,5'S,6R,6'R,8R,10Z,12S,13S,14Z,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,20,0,3,2,1,Between -11 and 5
62,"(1R,4S,5'S,6R,6'R,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4R,5S,6S)-5-[(2S,4R,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,20,0,3,3,0,Between -11 and 5
63,Methylcobalamin,1345.4,449.0,3160.0,,92,10,20,26,1344.6,1344.6,0,3,0,14,13,1,3,3,0,Larger than 6
64,Spironolactone,416.6,85.7,818.0,2.9,29,0,5,2,416.202,416.202,0,1,0,7,7,0,0,0,0,Between -11 and 5
65,Prednisone,358.4,91.7,764.0,1.5,26,2,5,2,358.178,358.178,0,1,0,6,6,0,0,0,0,Between -11 and 5
66,Quercetin,302.23,127.0,488.0,1.5,22,5,7,1,302.043,302.043,0,1,0,0,0,0,0,0,0,Between -11 and 5
67,Calderol,418.7,41.5,655.0,,30,3,3,6,418.345,418.345,0,2,0,5,5,0,2,2,0,Larger than 6
68,Dactolisib,469.5,73.1,872.0,5.2,36,0,4,3,469.19,469.19,0,1,0,0,0,0,0,0,0,Larger than 6
69,Enzalutamide,464.4,109.0,839.0,3.6,32,1,8,3,464.093,464.093,0,1,0,0,0,0,0,0,0,Between -11 and 5
70,Selinexor,443.3,97.6,621.0,3.0,31,2,12,5,443.093,443.093,0,1,0,0,0,0,1,1,0,Between -11 and 5
71,Chlorpromazine,318.9,31.8,339.0,5.2,21,0,3,4,318.096,318.096,0,1,0,0,0,0,0,0,0,Larger than 6
72,Itraconazolum [Latin],705.6,101.0,1120.0,5.7,49,0,9,11,704.239,704.239,0,1,0,3,0,3,0,0,0,Larger than 6
73,Loratadine,382.9,42.4,569.0,5.2,27,0,3,2,382.145,382.145,0,1,0,0,0,0,0,0,0,Larger than 6
74,Nifedipine,346.3,110.0,608.0,2.2,25,1,7,5,346.116,346.116,0,1,0,0,0,0,0,0,0,Between -11 and 5
75,Prazosin,383.4,107.0,544.0,2.0,28,1,8,4,383.159,383.159,0,1,0,0,0,0,0,0,0,Between -11 and 5
76,Alizarin,240.21,74.6,378.0,3.2,18,2,4,0,240.042,240.042,0,1,0,0,0,0,0,0,0,Between -11 and 5
77,Methylprednisolone,374.5,94.8,754.0,1.9,27,3,5,2,374.209,374.209,0,1,0,8,8,0,0,0,0,Between -11 and 5
78,Chloroquine sulfate,418.0,111.0,390.0,,27,3,7,8,417.149,417.149,0,2,0,1,0,1,0,0,0,Larger than 6
79,Bardoxolone methyl,505.7,84.2,1210.0,6.7,37,0,5,2,505.319,505.319,0,1,0,7,7,0,0,0,0,Larger than 6
80,"(1R,4S,5'S,6R,6'R,8R,12S,13S,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,20,0,3,0,3,Between -11 and 5
81,Heartgard-30,1736.2,340.0,3340.0,,123,6,28,15,1736.0,1735.0,0,2,0,39,34,5,6,6,0,Larger than 6
82,Ivermectine 100 microg/mL in Acetonitrile,1736.2,340.0,3340.0,,123,6,28,15,1736.0,1735.0,0,2,0,39,39,0,6,6,0,Larger than 6
83,Duvelisib,416.9,86.8,668.0,4.1,30,2,5,4,416.115,416.115,0,1,0,1,1,0,0,0,0,Between -11 and 5
84,"(4S,5'S,6R,6'R,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,19,1,3,3,0,Between -11 and 5
85,Zotatifin,487.5,108.0,819.0,2.4,36,2,8,6,487.211,487.211,0,1,0,5,5,0,0,0,0,Between -11 and 5
86,MaxEPA,645.0,74.6,874.0,,47,2,4,28,644.48,644.48,0,2,0,0,0,0,11,11,0,Larger than 6
87,"(1R,4S,5'S,6R,6'R,8R,12S,13S,14E,16E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,20,0,3,2,1,Between -11 and 5
88,"(1S,4S,5'S,6R,6'R,8R,10E,12S,13S,14E,20R,21R,24S)-6'-[(2S)-butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,20,0,3,2,1,Between -11 and 5
89,Indomethacin,357.8,68.5,506.0,4.3,25,1,4,4,357.077,357.077,0,1,0,0,0,0,0,0,0,Between -11 and 5
90,Methylene Blue,319.9,43.9,483.0,,21,0,4,1,319.091,319.091,0,2,0,0,0,0,0,0,0,Larger than 6
91,Bromocresol green,698.0,92.2,742.0,6.5,31,2,5,2,697.725,693.73,0,1,0,0,0,0,0,0,0,Larger than 6
92,Hydroxychloroquine sulfate,434.0,131.0,413.0,,28,4,8,9,433.144,433.144,0,2,0,1,0,1,0,0,0,Larger than 6
93,Ritonavir,720.9,202.0,1040.0,6.0,50,4,9,18,720.313,720.313,0,1,0,4,4,0,0,0,0,Larger than 6
94,Fisetin,286.24,107.0,459.0,2.0,21,4,6,1,286.048,286.048,0,1,0,0,0,0,0,0,0,Between -11 and 5
95,Palbociclib,447.5,103.0,775.0,1.8,33,2,8,5,447.238,447.238,0,1,0,0,0,0,0,0,0,Between -11 and 5
96,Ruxolitinib,306.4,83.2,453.0,2.1,23,1,4,4,306.159,306.159,0,1,0,1,1,0,0,0,0,Between -11 and 5
97,Sildenafil Citrate,666.7,250.0,1070.0,,46,5,15,12,666.232,666.232,0,2,0,0,0,0,0,0,0,Larger than 6
98,Nintedanib,539.6,102.0,892.0,4.3,40,2,7,8,539.253,539.253,0,1,0,0,0,0,0,0,0,Between -11 and 5
99,Melatonin,232.28,54.1,270.0,0.8,17,2,2,4,232.121,232.121,0,1,0,0,0,0,0,0,0,Between -11 and 5
100,Carbamazepine,236.27,46.3,326.0,2.5,18,1,1,0,236.095,236.095,0,1,0,0,0,0,0,0,0,Between -11 and 5
101,Clofazimine,473.4,40.0,829.0,7.1,33,1,4,4,472.122,472.122,0,1,0,0,0,0,0,0,0,Larger than 6
102,Diphenhydramine,255.35,12.5,211.0,3.3,19,0,2,6,255.162,255.162,0,1,0,0,0,0,0,0,0,Between -11 and 5
103,Thalidomide,258.23,83.6,449.0,0.3,19,1,4,1,258.064,258.064,0,1,0,1,0,1,0,0,0,Between -11 and 5
104,Hydrocortisone,362.5,94.8,684.0,1.6,26,3,5,2,362.209,362.209,0,1,0,7,7,0,0,0,0,Between -11 and 5
105,Progesterone,314.5,34.1,589.0,3.9,23,0,2,1,314.225,314.225,0,1,0,6,6,0,0,0,0,Between -11 and 5
106,o-Aminoazotoluene,225.29,50.7,264.0,3.7,17,1,3,2,225.127,225.127,0,1,0,0,0,0,0,0,0,Between -11 and 5
107,Clonitralid,388.2,141.0,414.0,,25,4,6,3,387.039,387.039,0,2,0,0,0,0,0,0,0,Larger than 6
108,Pimozide,461.5,35.6,632.0,6.3,34,1,4,7,461.228,461.228,0,1,0,0,0,0,0,0,0,Larger than 6
109,Nitazoxanide,307.28,142.0,428.0,2.0,21,1,7,4,307.026,307.026,0,1,0,0,0,0,0,0,0,Between -11 and 5
110,Deferoxamine hydrochloride,597.1,206.0,739.0,,40,7,9,23,596.33,596.33,0,2,0,0,0,0,0,0,0,Larger than 6
111,Chloroquine monophosphate,417.9,106.0,359.0,,27,4,7,8,417.158,417.158,0,2,0,1,0,1,0,0,0,Larger than 6
112,Retinol,286.5,20.2,496.0,5.7,21,1,1,5,286.23,286.23,0,1,0,0,0,0,4,4,0,Larger than 6
113,Melphalan,305.2,66.6,265.0,-0.5,19,2,4,8,304.075,304.075,0,1,0,1,1,0,0,0,0,Between -11 and 5
114,Dasatinib,488.0,135.0,642.0,3.6,33,3,9,7,487.156,487.156,0,1,0,0,0,0,0,0,0,Between -11 and 5
115,Masitinib,498.6,102.0,696.0,4.3,36,2,7,7,498.22,498.22,0,1,0,0,0,0,0,0,0,Between -11 and 5
116,Acrivastine and pseudoephedrine hydrochloride,550.1,85.7,635.0,,39,4,6,9,549.276,549.276,0,3,0,2,2,0,2,2,0,Larger than 6
117,"4-(carboxymethyl)-2-((R)-1-(2-(2,5-dichlorobenzamido)acetamido)-3-methylbutyl)-6-oxo-1,3,2-dioxaborinane-4-carboxylic acid",517.1,168.0,815.0,,34,4,9,10,516.087,516.087,0,1,0,2,1,1,0,0,0,Larger than 6
118,Remdesivir,602.6,204.0,1010.0,1.9,42,4,13,14,602.225,602.225,0,1,0,6,6,0,0,0,0,Between -11 and 5
119,"Ivermectin B1a, epi-",875.1,170.0,1680.0,4.1,62,3,14,8,874.508,874.508,0,1,0,20,20,0,3,3,0,Between -11 and 5
120,Hydroxocobalamin,1270.4,452.0,3140.0,-3.4,90,9,19,26,1269.63,1269.63,-2,1,0,14,0,14,3,3,0,Between -11 and 5
121,Zanubrutinib,471.5,103.0,756.0,3.5,35,2,5,6,471.227,471.227,0,1,0,1,1,0,0,0,0,Between -11 and 5
122,Gamma-Aminobutyric Acid,103.12,63.3,62.7,-3.2,7,2,3,3,103.063,103.063,0,1,0,0,0,0,0,0,0,Between -11 and 5
123,Caffeine,194.19,58.4,293.0,-0.1,14,0,3,0,194.08,194.08,0,1,0,0,0,0,0,0,0,Between -11 and 5
124,Dapsone,248.3,94.6,306.0,1.0,17,2,4,2,248.062,248.062,0,1,0,0,0,0,0,0,0,Between -11 and 5
125,Leflunomide,270.21,55.1,327.0,2.5,19,1,6,2,270.062,270.062,0,1,0,0,0,0,0,0,0,Between -11 and 5
126,Raloxifene,473.6,98.2,655.0,6.1,34,2,6,7,473.166,473.166,0,1,0,0,0,0,0,0,0,Larger than 6
127,Imatinib,493.6,86.3,706.0,3.5,37,2,7,7,493.259,493.259,0,1,0,0,0,0,0,0,0,Between -11 and 5
128,Dexamethasone,392.5,94.8,805.0,1.9,28,3,6,2,392.2,392.2,0,1,0,8,8,0,0,0,0,Between -11 and 5
129,Colchicine,399.4,83.1,740.0,1.0,29,1,6,5,399.168,399.168,0,1,0,1,1,0,0,0,0,Between -11 and 5
130,Estradiol cypionate,396.6,46.5,597.0,7.1,29,1,3,5,396.266,396.266,0,1,0,5,5,0,0,0,0,Larger than 6
131,Cetylpyridinium Chloride,340.0,3.9,208.0,,23,0,1,15,339.269,339.269,0,2,0,0,0,0,0,0,0,Larger than 6
132,Plerixafor,502.8,78.7,456.0,0.0,36,6,8,4,502.447,502.447,0,1,0,0,0,0,0,0,0,Between -11 and 5
133,Telmisartan,514.6,72.9,831.0,6.9,39,1,4,7,514.237,514.237,0,1,0,0,0,0,0,0,0,Larger than 6
134,Sorafenib,464.8,92.4,646.0,4.1,32,3,7,5,464.086,464.086,0,1,0,0,0,0,0,0,0,Between -11 and 5
135,Bacitracin zinc,1488.1,552.0,2950.0,,101,16,21,31,1485.68,1485.68,0,2,0,16,0,16,0,0,0,Larger than 6
136,Hymecromone,176.17,46.5,257.0,1.9,13,1,3,0,176.047,176.047,0,1,0,0,0,0,0,0,0,Between -11 and 5
137,Cob(II)alamin,1329.3,452.0,3150.0,,91,9,19,16,1328.56,1328.56,-2,2,0,14,14,0,3,3,0,Larger than 6
138,Tofacitinib,312.37,88.9,488.0,1.5,23,1,5,3,312.17,312.17,0,1,0,2,2,0,0,0,0,Between -11 and 5
139,Elsulfavirine,629.3,134.0,977.0,5.2,37,2,7,8,626.943,626.943,0,1,0,0,0,0,0,0,0,Larger than 6
140,Fostamatinib,580.5,187.0,904.0,1.6,40,4,15,10,580.148,580.148,0,1,0,0,0,0,0,0,0,Between -11 and 5
141,3-(4-chlorophenyl)-N-(pyridin-4-ylmethyl)adamantane-1-carboxamide,380.9,42.0,551.0,4.7,27,1,2,4,380.166,380.166,0,1,0,2,0,2,0,0,0,Between -11 and 5
