,Compound_name,Molecular_weight,Polar_surface_area,Complexity,Partition_coef,Heavy_atom_count,H_bond_donor_count,H_bond_acceptor_count,Rotatable_bond_count,Exact_mass,Monoisotopic_mass,Formal_charge,Cov-bonded_unit_count,Isotope_atom_count,Total_atom_stereo_count,Defined_atom_stereo_count,Undefined_atoms_stereo_count,Total_bond_stereo_count,Defined_bond_stereo_count,Undefined_bond_stereo_count,Part_coef_group
142,Adenosylcobalamin,1579.6,571.0,3730.0,,109,12,27,17,1578.66,1578.66,-3,3,0,18,18,0,3,3,0,Larger than 6
143,Solnatide,1923.1,861.0,4170.0,-10.7,134,27,32,27,1921.81,1921.81,0,1,0,16,16,0,0,0,0,Smaller than -10
144,Subasumstat,578.1,193.0,942.0,3.5,38,4,11,8,577.122,577.122,0,1,0,4,4,0,0,0,0,Between -11 and 5
145,Lactoferrin,3125.8,1360.0,7330.0,6.8,219,51,65,108,3124.68,3123.68,0,1,0,26,26,0,0,0,0,Larger than 6
146,Compstatin 40,1789.1,692.0,3770.0,-2.1,126,21,23,30,1787.84,1787.84,0,1,0,15,15,0,0,0,0,Between -11 and 5
147,Celecoxib,381.4,86.4,577.0,3.4,26,1,7,3,381.076,381.076,0,1,0,0,0,0,0,0,0,Between -11 and 5
148,Eucalyptol,154.25,9.2,164.0,2.5,11,0,1,0,154.136,154.136,0,1,0,0,0,0,0,0,0,Between -11 and 5
149,Disulfiram,296.5,121.0,201.0,3.9,16,0,4,7,296.051,296.051,0,1,0,0,0,0,0,0,0,Between -11 and 5
150,Ibuprofen,206.28,37.3,203.0,3.5,15,1,2,4,206.131,206.131,0,1,0,1,0,1,0,0,0,Between -11 and 5
151,Niclosamide,327.12,95.2,404.0,4.0,21,2,4,2,325.986,325.986,0,1,0,0,0,0,0,0,0,Between -11 and 5
152,Simvastatin,418.6,72.8,706.0,4.7,30,1,5,7,418.272,418.272,0,1,0,7,7,0,0,0,0,Between -11 and 5
153,Methotrexate,454.4,211.0,704.0,-1.8,33,5,12,9,454.171,454.171,0,1,0,1,1,0,0,0,0,Between -11 and 5
154,Angiotensin II,1046.2,409.0,1980.0,-1.7,75,13,15,29,1045.53,1045.53,0,1,0,9,9,0,0,0,0,Between -11 and 5
155,Lenalidomide,259.26,92.5,437.0,-0.5,19,2,4,1,259.096,259.096,0,1,0,1,0,1,0,0,0,Between -11 and 5
156,Aspartyl-alanyl-diketopiperazine,186.17,95.5,263.0,-1.4,13,3,4,2,186.064,186.064,0,1,0,2,2,0,0,0,0,Between -11 and 5
157,Silmitasertib,349.8,75.1,491.0,4.4,25,2,5,3,349.062,349.062,0,1,0,0,0,0,0,0,0,Between -11 and 5
158,Ibrutinib,440.5,99.2,678.0,3.6,33,1,6,5,440.196,440.196,0,1,0,1,1,0,0,0,0,Between -11 and 5
159,Bemcentinib,506.6,97.8,775.0,5.5,38,2,7,4,506.291,506.291,0,1,0,1,1,0,0,0,0,Larger than 6
160,Teriflunomide,270.21,73.1,426.0,3.3,19,2,6,2,270.062,270.062,0,1,0,0,0,0,1,1,0,Between -11 and 5
161,Tazemetostat,572.7,83.1,992.0,4.2,42,2,6,9,572.336,572.336,0,1,0,0,0,0,0,0,0,Between -11 and 5
162,Acalabrutinib,465.5,119.0,845.0,3.0,35,2,6,4,465.191,465.191,0,1,0,1,1,0,0,0,0,Between -11 and 5
163,Ifenprodil,325.4,43.7,353.0,3.9,24,2,3,5,325.204,325.204,0,1,0,2,0,2,0,0,0,Between -11 and 5
164,Ursodeoxycholic acid,392.6,77.8,605.0,4.9,28,3,4,4,392.293,392.293,0,1,0,10,10,0,0,0,0,Between -11 and 5
165,Metoprolol succinate,652.8,176.0,308.0,,46,6,12,21,652.393,652.393,0,3,0,2,0,2,0,0,0,Larger than 6
166,Merimepodib,452.5,124.0,652.0,2.1,33,3,7,8,452.17,452.17,0,1,0,1,1,0,0,0,0,Between -11 and 5
167,Fludrocortisone acetate,422.5,101.0,838.0,1.7,30,2,7,4,422.21,422.21,0,1,0,7,7,0,0,0,0,Between -11 and 5
168,Triazavirin,228.19,141.0,435.0,0.4,15,1,6,1,228.007,228.007,0,1,0,0,0,0,0,0,0,Between -11 and 5
169,Ceftriaxone sodium,598.6,297.0,1120.0,,38,2,14,7,598.01,598.01,0,3,0,2,2,0,1,1,0,Larger than 6
170,Rivaroxaban,435.9,116.0,645.0,2.5,29,1,6,5,435.066,435.066,0,1,0,1,1,0,0,0,0,Between -11 and 5
171,Ventolin,337.39,156.0,309.0,,22,6,8,5,337.12,337.12,0,2,0,1,0,1,0,0,0,Larger than 6
172,Apixaban,459.5,111.0,777.0,2.2,34,1,5,5,459.191,459.191,0,1,0,0,0,0,0,0,0,Between -11 and 5
173,Ceftriaxone disodium salt hemiheptahydrate,1323.2,601.0,1120.0,,83,11,35,14,1322.09,1322.09,0,13,0,4,4,0,2,2,0,Larger than 6
174,Vadadustat,306.7,99.5,393.0,2.5,21,3,5,4,306.041,306.041,0,1,0,0,0,0,0,0,0,Between -11 and 5
175,Carbohydrate moiety of bromelain,1026.9,483.0,1680.0,-11.6,70,18,29,16,1026.38,1026.38,0,1,0,29,28,1,0,0,0,Smaller than -10
176,Siponimod fumarate,1149.3,199.0,896.0,,82,4,20,20,1148.53,1148.53,0,3,0,0,0,0,3,3,0,Larger than 6
177,(s)-1-(3-Chloro-4-fluorophenyl)ethanamine hydrochloride,210.07,26.0,131.0,,12,2,2,1,209.017,209.017,0,2,0,1,1,0,0,0,0,Larger than 6
178,Prezcobix,1323.7,343.0,1980.0,,92,6,19,32,1322.59,1322.59,0,2,0,8,8,0,0,0,0,Larger than 6
179,"[(2R,3R,4R,5R)-5-(4-amino-5-deuteriopyrrolo[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-bis(2-methylpropanoyloxy)oxolan-2-yl]methyl 2-methylpropanoate;hydrobromide",583.4,168.0,887.0,,37,2,11,11,582.155,582.155,0,2,1,4,4,0,0,0,0,Larger than 6
180,Berberine,336.4,40.8,488.0,3.6,25,0,4,2,336.124,336.124,1,1,0,0,0,0,0,0,0,Between -11 and 5
181,Cyproheptadine,287.4,3.2,423.0,4.7,22,0,1,0,287.167,287.167,0,1,0,0,0,0,0,0,0,Between -11 and 5
182,Doxazosin,451.5,112.0,678.0,2.5,33,1,9,4,451.186,451.186,0,1,0,1,0,1,0,0,0,Between -11 and 5
183,Fluconazole,306.27,81.6,358.0,0.4,22,1,7,5,306.104,306.104,0,1,0,0,0,0,0,0,0,Between -11 and 5
184,Irbesartan,428.5,87.1,682.0,4.1,32,1,5,7,428.232,428.232,0,1,0,0,0,0,0,0,0,Between -11 and 5
185,Sulfamethoxazole,253.28,107.0,346.0,0.9,17,2,6,3,253.052,253.052,0,1,0,0,0,0,0,0,0,Between -11 and 5
186,D-Glucose,180.16,110.0,151.0,-2.6,12,5,6,1,180.063,180.063,0,1,0,5,4,1,0,0,0,Between -11 and 5
187,N-Vinyl-2-pyrrolidone,111.14,20.3,120.0,0.4,8,0,1,1,111.068,111.068,0,1,0,0,0,0,0,0,0,Between -11 and 5
188,Trimetazidine,266.34,43.0,259.0,1.0,19,1,5,5,266.163,266.163,0,1,0,0,0,0,0,0,0,Between -11 and 5
189,Estetrol,304.4,80.9,441.0,1.5,22,4,4,0,304.167,304.167,0,1,0,7,7,0,0,0,0,Between -11 and 5
190,Deferoxamine mesylate,656.8,269.0,832.0,,44,7,12,23,656.341,656.341,0,2,0,0,0,0,0,0,0,Larger than 6
191,Tramadol Hydrochloride,299.83,32.7,282.0,,20,2,3,4,299.165,299.165,0,2,0,2,2,0,0,0,0,Larger than 6
192,Nebivolol,405.4,71.0,483.0,3.0,29,3,7,6,405.175,405.175,0,1,0,4,0,4,0,0,0,Between -11 and 5
193,Argatroban monohydrate,526.7,190.0,887.0,,36,6,9,9,526.257,526.257,0,2,0,4,3,1,0,0,0,Larger than 6
194,Sulfamethoxazole and trimethoprim,543.6,212.0,653.0,,38,4,13,8,543.19,543.19,0,2,0,0,0,0,0,0,0,Larger than 6
195,Zinc Gluconate,455.7,283.0,165.0,,27,10,14,8,454.03,454.03,0,3,0,8,8,0,0,0,0,Larger than 6
196,"Zinc;(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",455.7,283.0,385.0,,27,10,14,8,454.03,454.03,0,3,0,8,8,0,0,0,0,Larger than 6
197,(+)-Mefloquine,378.31,45.2,483.0,3.6,26,2,9,2,378.117,378.117,0,1,0,2,2,0,0,0,0,Between -11 and 5
198,"(2S,5R,6R)-6-[[(2S)-2-[(4-ethyl-2,3-dioxo-piperazine-1-carbonyl)amino]-2-phenyl-propanoyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid; (2S,3S,5R)-3-methyl-4,4,7-trioxo-3-(triazol-1-ylmethyl)-4$l^{6}-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",831.9,313.0,1600.0,,57,4,15,9,831.232,831.232,0,2,0,7,7,0,0,0,0,Larger than 6
199,Favipiravir,157.1,84.6,282.0,-0.6,11,2,4,1,157.029,157.029,0,1,0,0,0,0,0,0,0,Between -11 and 5
200,Maraviroc,513.7,63.0,751.0,5.1,37,1,6,8,513.328,513.328,0,1,0,3,3,0,0,0,0,Larger than 6
201,Toremifene,406.0,12.5,483.0,7.2,29,0,2,9,405.186,405.186,0,1,0,0,0,0,1,1,0,Larger than 6
202,"(3-methyl-2,4-dioxo-3,4-dihydroquinazolin-1(2H)-yl)acetic acid",234.21,77.9,369.0,0.4,17,1,4,2,234.064,234.064,0,1,0,0,0,0,0,0,0,Between -11 and 5
203,Enalapril maleate,492.5,171.0,638.0,,35,4,10,12,492.211,492.211,0,2,0,3,3,0,1,1,0,Larger than 6
204,Naltrexone hydrochloride,377.9,70.0,621.0,,26,3,5,2,377.139,377.139,0,2,0,4,4,0,0,0,0,Larger than 6
205,Chlorhexidine Gluconate,897.8,455.0,819.0,,60,18,16,23,896.32,896.32,0,3,0,8,8,0,2,2,0,Larger than 6
206,Piperacillin/tazobactam,817.9,313.0,1550.0,,56,4,15,9,817.216,817.216,0,2,0,7,7,0,0,0,0,Larger than 6
207,3-[5-(azetidine-1-carbonyl)pyrazin-2-yl]oxy-5-[(2S)-1-methoxypropan-2-yl]oxy-N-(5-methylpyrazin-2-yl)benzamide,478.5,129.0,710.0,1.3,35,1,9,9,478.196,478.196,0,1,0,1,1,0,0,0,0,Between -11 and 5
208,Degarelix,1632.3,513.0,3390.0,3.5,117,17,18,41,1630.75,1630.75,0,1,0,11,11,0,0,0,0,Between -11 and 5
209,(3S)-3-amino-6-(diaminomethylideneazaniumyl)hex-1-en-2-olate,172.23,115.0,174.0,-0.8,12,4,2,5,172.132,172.132,0,1,0,1,1,0,0,0,0,Between -11 and 5
210,Sivelestat sodium,528.5,154.0,738.0,,35,6,12,9,528.139,528.139,0,6,0,0,0,0,0,0,0,Larger than 6
211,CID 23679441,576.6,291.0,1120.0,,37,3,13,8,576.028,576.028,0,2,0,2,2,0,1,1,0,Larger than 6
212,Masitinib mesylate,594.8,164.0,788.0,,41,3,10,7,594.208,594.208,0,2,0,0,0,0,0,0,0,Larger than 6
213,"[(1S,4R,6S,7Z,18R)-4-(cyclopropylsulfonylcarbamoyl)-14-[(2-methylpropan-2-yl)oxycarbonylamino]-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-en-18-yl] 4-fluoro-1,3-dihydroisoindole-2-carboxylate",731.8,189.0,1530.0,3.3,51,3,10,8,731.3,731.3,0,1,0,5,4,1,1,1,0,Between -11 and 5
214,Natrii chloridi solutio composita,309.11,63.4,24.8,,13,4,8,0,307.852,307.852,0,10,0,0,0,0,0,0,0,Larger than 6
215,CID 87060529,577.6,288.0,1110.0,,37,4,13,8,577.036,577.036,0,2,0,2,2,0,1,1,0,Larger than 6
216,"(2S,3R)-3-[(2-aminopyridin-4-yl)methyl]-1-[[(1R)-1-cyclooctylethyl]carbamoyl]-4-oxoazetidine-2-carboxylic acid",402.5,126.0,606.0,3.7,29,3,6,5,402.227,402.227,0,1,0,3,3,0,0,0,0,Between -11 and 5
217,Sinapultide acetate,2529.5,813.0,4910.0,,178,28,30,93,2528.85,2527.85,0,2,0,21,21,0,0,0,0,Larger than 6
218,Bemnifosbuvir hemisulfate,1261.1,453.0,1000.0,,85,10,32,24,1260.4,1260.4,0,3,0,12,12,0,0,0,0,Larger than 6
219,Reamberin,357.27,193.0,216.0,,23,6,10,7,357.101,357.101,0,4,0,4,4,0,0,0,0,Larger than 6
220,Pomotrelvir,455.9,127.0,779.0,3.1,32,4,4,8,455.172,455.172,0,1,0,3,3,0,0,0,0,Between -11 and 5
221,Selenious acid,128.99,57.5,26.3,,4,2,3,0,129.917,129.917,0,1,0,0,0,0,0,0,0,Larger than 6
222,Spermidine,145.25,64.099,56.8,-1.0,10,3,3,7,145.158,145.158,0,1,0,0,0,0,0,0,0,Between -11 and 5
223,Salbutamol,239.31,72.7,227.0,0.3,17,4,4,5,239.152,239.152,0,1,0,1,0,1,0,0,0,Between -11 and 5
224,Bromhexine,376.13,29.3,256.0,4.3,18,1,2,3,375.997,373.999,0,1,0,0,0,0,0,0,0,Between -11 and 5
225,Ebselen,274.19,20.3,275.0,,16,0,1,1,274.985,274.985,0,1,0,0,0,0,0,0,0,Larger than 6
226,Fluoxetine,309.33,21.3,308.0,4.0,22,1,5,6,309.134,309.134,0,1,0,1,0,1,0,0,0,Between -11 and 5
227,Ketotifen,309.4,48.6,476.0,3.2,22,0,3,0,309.119,309.119,0,1,0,0,0,0,0,0,0,Between -11 and 5
228,Mefloquine,378.31,45.2,483.0,3.6,26,2,9,2,378.117,378.117,0,1,0,2,0,2,0,0,0,Between -11 and 5
229,Midazolam,325.8,30.2,471.0,2.5,23,0,3,1,325.078,325.078,0,1,0,0,0,0,0,0,0,Between -11 and 5
230,Nitroglycerin,227.09,165.0,219.0,1.6,15,0,9,5,227.003,227.003,0,1,0,0,0,0,0,0,0,Between -11 and 5
231,Quetiapine,383.5,73.6,496.0,2.1,27,1,5,6,383.167,383.167,0,1,0,0,0,0,0,0,0,Between -11 and 5
232,Liothyronine,650.97,92.8,402.0,1.7,23,3,5,5,650.79,650.79,0,1,0,1,1,0,0,0,0,Between -11 and 5
233,Pyridostigmine bromide,261.12,33.4,183.0,,14,0,3,2,260.016,260.016,0,2,0,0,0,0,0,0,0,Larger than 6
234,Psilocybine,284.25,85.8,347.0,-1.6,19,3,5,5,284.093,284.093,0,1,0,0,0,0,0,0,0,Between -11 and 5
235,Luminol,177.16,84.2,254.0,0.3,13,3,3,0,177.054,177.054,0,1,0,0,0,0,0,0,0,Between -11 and 5
236,Acetylcysteine,163.2,67.4,148.0,0.4,10,3,4,3,163.03,163.03,0,1,0,1,1,0,0,0,0,Between -11 and 5
237,Cyproheptadine hydrochloride,323.9,3.2,423.0,,23,1,1,0,323.144,323.144,0,2,0,0,0,0,0,0,0,Larger than 6
238,Carmoisine,502.4,176.0,854.0,,33,1,9,2,501.988,501.988,0,3,0,0,0,0,0,0,0,Larger than 6
239,Etoposide,588.6,161.0,969.0,0.6,42,3,13,5,588.184,588.184,0,1,0,10,10,0,0,0,0,Between -11 and 5
240,Albuterol Sulfate,576.7,228.0,309.0,,39,10,12,10,576.272,576.272,0,3,0,2,0,2,0,0,0,Larger than 6
241,Dexbudesonide,430.5,93.1,862.0,2.5,31,2,6,4,430.236,430.236,0,1,0,9,9,0,0,0,0,Between -11 and 5
242,"2,2-Dimethyl-4-(chloromethyl)-1,3-dioxa-2-silacyclopentane",166.68,18.5,107.0,,9,0,2,1,166.022,166.022,0,1,0,1,0,1,0,0,0,Larger than 6
243,Clopidogrel,321.8,57.8,381.0,3.8,21,0,4,4,321.059,321.059,0,1,0,1,1,0,0,0,0,Between -11 and 5
244,Valsartan,435.5,112.0,608.0,4.4,32,2,6,10,435.227,435.227,0,1,0,1,1,0,0,0,0,Between -11 and 5
245,Tirofiban,440.6,113.0,579.0,1.4,30,3,7,14,440.234,440.234,0,1,0,1,1,0,0,0,0,Between -11 and 5
246,Voriconazole,349.31,76.7,448.0,1.5,25,1,8,5,349.115,349.115,0,1,0,2,2,0,0,0,0,Between -11 and 5
247,N-Phenylethylenediamine,136.19,38.0,77.3,0.6,10,2,2,3,136.1,136.1,0,1,0,0,0,0,0,0,0,Between -11 and 5
248,Oseltamivir phosphate,410.4,168.0,468.0,,27,5,9,8,410.182,410.182,0,2,0,3,3,0,0,0,0,Larger than 6
249,Nicotine,162.23,16.1,147.0,1.2,12,0,2,1,162.116,162.116,0,1,0,1,1,0,0,0,0,Between -11 and 5
250,Lactose monohydrate,360.31,191.0,382.0,,24,9,12,4,360.127,360.127,0,2,0,10,10,0,0,0,0,Larger than 6
251,"2,4-Dioxaspiro[5.5]undec-8-ene, 3-(2-furanyl)-",220.26,31.6,266.0,2.1,16,0,3,1,220.11,220.11,0,1,0,0,0,0,0,0,0,Between -11 and 5
252,Sivelestat,434.5,147.0,731.0,3.0,30,3,8,9,434.115,434.115,0,1,0,0,0,0,0,0,0,Between -11 and 5
253,Tafenoquine,463.5,78.6,597.0,5.4,33,2,9,9,463.208,463.208,0,1,0,1,0,1,0,0,0,Larger than 6
254,IB-Meca,510.3,134.0,589.0,0.9,29,4,8,5,510.051,510.051,0,1,0,4,4,0,0,0,0,Between -11 and 5
255,"(S)-Hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",154.17,49.4,215.0,-0.6,11,1,2,0,154.074,154.074,0,1,0,1,1,0,0,0,0,Between -11 and 5
256,Arbidol,477.4,80.0,546.0,4.4,29,1,5,8,476.077,476.077,0,1,0,0,0,0,0,0,0,Between -11 and 5
257,Tempol,172.24,24.5,159.0,0.9,12,1,2,0,172.134,172.134,0,1,0,0,0,0,0,0,0,Between -11 and 5
258,Atazanavir,704.9,171.0,1110.0,5.6,51,5,9,18,704.39,704.39,0,1,0,4,4,0,0,0,0,Larger than 6
259,Centhaquine,331.5,19.4,404.0,4.5,25,0,3,4,331.205,331.205,0,1,0,0,0,0,0,0,0,Between -11 and 5
260,Regadenoson,390.35,187.0,587.0,-1.5,28,5,10,4,390.14,390.14,0,1,0,4,4,0,0,0,0,Between -11 and 5
261,Teprotide,1101.3,387.0,2330.0,-0.9,79,10,13,24,1100.58,1100.58,0,1,0,10,10,0,0,0,0,Between -11 and 5
262,Azithromycin,749.0,180.0,1150.0,4.0,52,5,14,7,748.509,748.509,0,1,0,18,18,0,0,0,0,Between -11 and 5
263,Posaconazole,700.8,112.0,1170.0,4.6,51,1,11,12,700.33,700.33,0,1,0,4,4,0,0,0,0,Between -11 and 5
264,Cannabidiol,314.5,40.5,414.0,6.5,23,2,2,6,314.225,314.225,0,1,0,2,2,0,0,0,0,Larger than 6
265,"(R)-[2,8-bis(trifluoromethyl)-4-quinolyl]-[(2R)-2-piperidyl]methanol",378.31,45.2,483.0,3.6,26,2,9,2,378.117,378.117,0,1,0,2,2,0,0,0,0,Between -11 and 5
266,Tetramethylol-melamin-dioxy-propylen [German],358.35,170.0,377.0,-0.8,25,6,12,11,358.16,358.16,0,1,0,2,0,2,0,0,0,Between -11 and 5
267,Heme arginate,792.7,260.0,1180.0,,55,8,10,13,792.305,792.305,2,3,0,1,1,0,0,0,0,Larger than 6
268,Zincacetate,185.5,74.6,78.6,,9,2,4,0,183.971,183.971,0,3,0,0,0,0,0,0,0,Larger than 6
269,Montelukast,586.2,95.7,891.0,7.7,41,2,5,12,585.21,585.21,0,1,0,1,1,0,1,1,0,Larger than 6
270,Crocetin,328.4,74.6,608.0,5.4,24,2,4,8,328.167,328.167,0,1,0,0,0,0,7,7,0,Larger than 6
271,Fondaparinux,1508.3,873.0,3450.0,-14.7,91,19,52,30,1506.95,1506.95,0,1,0,25,25,0,0,0,0,Smaller than -10
272,Fluvoxamine,318.33,56.8,327.0,2.6,22,1,7,9,318.156,318.156,0,1,0,0,0,0,1,1,0,Between -11 and 5
273,Naltrexone,341.4,70.0,621.0,1.9,25,2,5,2,341.163,341.163,0,1,0,4,4,0,0,0,0,Between -11 and 5
274,20-Hydroxyecdysone,480.6,138.0,869.0,0.5,34,6,7,5,480.309,480.309,0,1,0,10,10,0,0,0,0,Between -11 and 5
275,Ceftriaxone,554.6,288.0,1110.0,-1.3,36,4,13,8,554.046,554.046,0,1,0,2,2,0,1,1,0,Between -11 and 5
276,"(3E,4S)-4-Hydroxy-3-{2-[(1R,4aS,5R,6R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylenedecahydronaphthalen-1-yl]ethylidene}dihydrofuran-2(3H)-one",350.4,87.0,597.0,2.2,25,3,5,3,350.209,350.209,0,1,0,6,2,4,1,1,0,Between -11 and 5
277,Artemether and lumefantrine,827.3,69.6,1100.0,,56,1,7,11,825.333,825.333,0,2,0,9,7,2,1,1,0,Larger than 6
278,Isavuconazonium,717.8,188.0,1210.0,4.1,51,2,13,15,717.242,717.242,1,1,0,3,2,1,0,0,0,Between -11 and 5
279,Luminol sodium salt,200.15,84.2,254.0,,14,3,3,0,200.044,200.044,0,2,0,0,0,0,0,0,0,Larger than 6
280,Dapagliflozin,408.9,99.4,472.0,2.3,28,4,6,6,408.134,408.134,0,1,0,5,5,0,0,0,0,Between -11 and 5
281,Zinc Picolinate,309.6,106.0,108.0,,19,0,6,0,307.978,307.978,0,3,0,0,0,0,0,0,0,Larger than 6
282,"Pregna-1,4-diene-3,20-dione,21-(3-carboxy-1-oxopropoxy)-11,17-dihydroxy-6-methyl-, monosodiumsalt, (6a,11b)-",497.5,138.0,981.0,,35,3,8,7,497.215,497.215,0,2,0,8,8,0,0,0,0,Larger than 6
283,Vortioxetine,298.4,40.6,316.0,4.2,21,1,3,3,298.15,298.15,0,1,0,0,0,0,0,0,0,Between -11 and 5
284,Enisamium iodide,354.19,33.0,241.0,,18,1,2,3,354.023,354.023,0,2,0,0,0,0,0,0,0,Larger than 6
285,Cenicriviroc,696.9,105.0,1060.0,7.5,50,1,7,17,696.371,696.371,0,1,0,1,1,0,1,1,0,Larger than 6
286,Apremilast,460.5,128.0,825.0,1.8,32,1,7,8,460.13,460.13,0,1,0,1,1,0,0,0,0,Between -11 and 5
287,Empagliflozin,450.9,109.0,558.0,2.0,31,4,7,6,450.145,450.145,0,1,0,6,6,0,0,0,0,Between -11 and 5
288,N6-ethanimidoyl-D-lysine,187.24,102.0,192.0,-3.1,13,3,4,6,187.132,187.132,0,1,0,1,1,0,0,0,0,Between -11 and 5
289,Emricasan,569.5,151.0,934.0,3.6,40,4,11,11,569.179,569.179,0,1,0,2,2,0,0,0,0,Between -11 and 5
290,Aviptadil Acetate,3344.9,1480.0,7510.0,-13.7,234,51,51,116,3343.74,3342.73,0,1,0,31,0,31,0,0,0,Smaller than -10
291,Quinine sulfate dihydrate,782.9,176.0,538.0,,55,6,14,8,782.356,782.356,0,5,0,8,8,0,0,0,0,Larger than 6
292,Hydrocortisone 21-hemisuccinate sodium salt,485.5,138.0,908.0,,34,3,8,7,485.215,485.215,0,2,0,7,7,0,0,0,0,Larger than 6
293,Liothyronine sodium,672.95,95.6,408.0,,24,2,5,5,672.772,672.772,0,2,0,1,1,0,0,0,0,Larger than 6
294,sodium;8-amino-4-oxo-3H-phthalazin-1-olate,199.14,90.5,269.0,,14,2,4,0,199.036,199.036,0,2,0,0,0,0,0,0,0,Larger than 6
295,Edoxaban tosylate monohydrate,738.3,229.0,1090.0,,49,5,12,6,737.207,737.207,0,3,0,3,3,0,0,0,0,Larger than 6
296,Daclatasvir,738.9,175.0,1190.0,5.1,54,4,8,13,738.385,738.385,0,1,0,4,4,0,0,0,0,Larger than 6
297,"2-[(4S)-4-amino-5,5-dihydroxyhexyl]guanidine",190.24,131.0,177.0,-2.5,13,5,4,5,190.143,190.143,0,1,0,1,1,0,0,0,0,Between -11 and 5
298,Fosmanogepix,468.4,148.0,644.0,1.6,33,2,9,9,468.12,468.12,0,1,0,0,0,0,0,0,0,Between -11 and 5
299,Larazotide acetate,785.9,339.0,1320.0,,55,10,13,21,785.428,785.428,0,2,0,5,5,0,0,0,0,Larger than 6
300,Thymosin,3051.3,1370.0,6930.0,-22.0,212,47,57,109,3050.5,3049.5,0,1,0,30,30,0,0,0,0,Smaller than -10
301,Sofosbuvir,529.5,153.0,913.0,1.0,36,3,11,11,529.163,529.163,0,1,0,6,6,0,0,0,0,Between -11 and 5
302,Razuprotafib,586.7,212.0,906.0,3.7,39,4,10,12,586.101,586.101,0,1,0,2,2,0,0,0,0,Between -11 and 5
303,Nalpha-[(4-Methylpiperazin-1-Yl)carbonyl]-N-[(3s)-1-Phenyl-5-(Phenylsulfonyl)pentan-3-Yl]-L-Phenylalaninamide,576.8,107.0,897.0,4.4,41,2,5,12,576.277,576.277,0,1,0,2,2,0,0,0,0,Between -11 and 5
304,Ascorbic Acid,176.12,107.0,232.0,-1.6,12,4,6,2,176.032,176.032,0,1,0,2,2,0,0,0,0,Between -11 and 5
305,Doxycycline,444.4,182.0,956.0,-0.7,32,6,9,2,444.153,444.153,0,1,0,6,6,0,0,0,0,Between -11 and 5
306,Rabeximod,409.9,63.0,590.0,3.9,29,1,4,5,409.167,409.167,0,1,0,0,0,0,0,0,0,Between -11 and 5
307,Kaolin,258.16,98.0,167.0,,13,2,9,4,257.902,257.902,0,3,0,0,0,0,0,0,0,Larger than 6
308,H-Ile-OH.H-Thr-OH.H-Leu-OH.H-Val-OH.H-Met-OH.H-Phe-OH.H-Trp-OH.H-Lys-OH,1163.4,594.0,988.0,,80,19,27,25,1162.65,1162.65,0,8,0,10,10,0,0,0,0,Larger than 6
309,Semaglutide,4114.0,1650.0,9590.0,-5.8,291,57,63,151,4112.12,4111.12,0,1,0,30,30,0,0,0,0,Between -11 and 5
310,Isuzinaxib hydrochloride,315.8,45.2,412.0,,22,2,3,4,315.114,315.114,0,2,0,0,0,0,0,0,0,Larger than 6
311,CID 66726979,457.5,147.0,731.0,,31,3,8,9,457.105,457.105,0,2,0,0,0,0,0,0,0,Larger than 6
312,Desidustat,332.31,116.0,583.0,1.9,24,3,6,6,332.101,332.101,0,1,0,0,0,0,0,0,0,Between -11 and 5
