,Compound_name,Molecular_weight,Polar_surface_area,Complexity,Partition_coef,Heavy_atom_count,H_bond_donor_count,H_bond_acceptor_count,Rotatable_bond_count,Exact_mass,Monoisotopic_mass,Formal_charge,Cov-bonded_unit_count,Isotope_atom_count,Total_atom_stereo_count,Defined_atom_stereo_count,Undefined_atoms_stereo_count,Total_bond_stereo_count,Defined_bond_stereo_count,Undefined_bond_stereo_count,Part_coef_group
313,"7-[[2-Ethoxyimino-2-[5-(phosphonoamino)-1,2,4-thiadiazol-3-yl]acetyl]amino]-3-[[4-(1-methylpyridin-1-ium-4-yl)-1,3-thiazol-2-yl]sulfanyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid;acetate",744.7,368.0,1240.0,,47,5,19,11,744.031,744.031,0,2,0,2,0,2,1,0,1,Larger than 6
314,1-(4-(((6-Amino-5-(4-phenoxyphenyl)pyrimidin-4-yl)amino)methyl)-4-fluoropiperidin-1-yl)prop-2-en-1-one,447.5,93.4,643.0,4.1,33,2,7,7,447.207,447.207,0,1,0,0,0,0,0,0,0,Between -11 and 5
315,Ceftriaxone disodium hemiheptahydrate,600.6,288.0,1110.0,,38,4,13,8,600.026,600.026,0,3,0,2,2,0,1,1,0,Larger than 6
316,Descovy,723.7,257.0,1050.0,,49,4,15,14,723.236,723.236,0,2,0,5,5,0,0,0,0,Larger than 6
317,Zimlovisertib,361.4,104.0,535.0,2.0,26,2,6,6,361.144,361.144,0,1,0,3,3,0,0,0,0,Between -11 and 5
318,CID 131673872,202.17,84.2,254.0,,14,3,3,0,202.059,202.059,0,3,0,0,0,0,0,0,0,Larger than 6
319,"Sodium;5-amino-2,3-dihydrophthalazine-1,4-dione;hydride",201.16,84.2,254.0,,14,3,4,0,201.051,201.051,0,3,0,0,0,0,0,0,0,Larger than 6
320,Zilucoplan,3562.0,1070.0,6980.0,4.8,251,28,57,142,3560.97,3559.97,0,1,0,16,16,0,0,0,0,Between -11 and 5
321,Defibrotide,444.4,137.0,773.0,1.8,31,4,7,5,444.12,444.12,0,1,0,0,0,0,0,0,0,Between -11 and 5
322,"7-[(3s,4r)-4-(3-Chlorophenyl)carbonylpyrrolidin-3-Yl]-3h-Quinazolin-4-One",353.8,70.6,567.0,2.1,25,2,4,3,353.093,353.093,0,1,0,2,2,0,0,0,0,Between -11 and 5
323,Unii-7kyp9tkt70,879.6,484.0,1210.0,,58,15,24,13,879.205,879.205,0,4,0,8,0,8,0,0,0,Larger than 6
324,"4-acetamidobenzoic acid;9-[(2R,3R,4R,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one;1-(dimethylamino)propan-2-ol",1115.2,399.0,658.0,,79,13,22,14,1114.55,1114.55,0,7,0,7,4,3,0,0,0,Larger than 6
325,"[(1S,4R,6S)-4-(cyclopropylsulfonylcarbamoyl)-14-[(2-methylpropan-2-yl)oxycarbonylamino]-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-en-18-yl] 4-fluoro-1,3-dihydroisoindole-2-carboxylate",731.8,189.0,1530.0,3.3,51,3,10,8,731.3,731.3,0,1,0,5,3,2,1,0,1,Between -11 and 5
326,example 13 [US20210284598A1],257.279,40.5,287.0,2.7,18,1,4,4,257.123,257.123,0,1,0,0,0,0,0,0,0,Between -11 and 5
327,Stannous protoporphyrin,679.4,102.0,1010.0,,43,2,8,8,680.145,680.145,0,2,0,0,0,0,0,0,0,Larger than 6
328,"3,6-Di-O-acetyl-2-deoxy-d-glucopyranose",248.23,110.0,276.0,-1.7,17,2,7,9,248.09,248.09,0,1,0,3,3,0,0,0,0,Between -11 and 5
329,X6 hydrobromide [PMID: 34584244],502.5,168.0,887.0,2.3,36,1,11,11,502.229,502.229,0,1,1,4,4,0,0,0,0,Between -11 and 5
330,Enoxaparin,1134.9,652.0,2410.0,-10.8,70,15,38,21,1134.01,1134.01,0,1,0,20,0,20,0,0,0,Smaller than -10
331,Amantadine,151.25,26.0,144.0,2.4,11,1,1,0,151.136,151.136,0,1,0,0,0,0,0,0,0,Between -11 and 5
332,Amlodipine,408.9,99.9,647.0,3.0,28,2,7,10,408.145,408.145,0,1,0,1,0,1,0,0,0,Between -11 and 5
333,Bicalutamide,430.4,116.0,750.0,2.3,29,2,9,5,430.061,430.061,0,1,0,1,0,1,0,0,0,Between -11 and 5
334,Candesartan cilexetil,610.7,143.0,962.0,7.0,45,1,10,13,610.254,610.254,0,1,0,1,0,1,0,0,0,Larger than 6
335,Formoterol,344.4,90.8,388.0,1.8,25,4,5,8,344.174,344.174,0,1,0,2,0,2,0,0,0,Between -11 and 5
336,Hydroxychloroquine,335.9,48.4,331.0,3.6,23,2,4,9,335.176,335.176,0,1,0,1,0,1,0,0,0,Between -11 and 5
337,Ibudilast,230.31,34.4,288.0,3.0,17,0,2,3,230.142,230.142,0,1,0,0,0,0,0,0,0,Between -11 and 5
338,Lidocaine,234.34,32.299,228.0,2.3,17,1,2,5,234.173,234.173,0,1,0,0,0,0,0,0,0,Between -11 and 5
339,Modafinil,273.4,79.4,302.0,1.7,19,1,3,5,273.082,273.082,0,1,0,1,0,1,0,0,0,Between -11 and 5
340,Omeprazole,345.4,96.3,453.0,2.2,24,1,6,5,345.115,345.115,0,1,0,1,0,1,0,0,0,Between -11 and 5
341,Pentoxifylline,278.31,75.5,426.0,0.3,20,0,4,5,278.138,278.138,0,1,0,0,0,0,0,0,0,Between -11 and 5
342,Arginine,174.2,128.0,176.0,-4.2,12,4,4,5,174.112,174.112,0,1,0,1,1,0,0,0,0,Between -11 and 5
343,"4,4'-Diphenylmethane diisocyanate",250.25,58.9,332.0,5.4,19,0,4,4,250.074,250.074,0,1,0,0,0,0,0,0,0,Larger than 6
344,Carvacrol,150.22,20.2,120.0,3.1,11,1,1,1,150.104,150.104,0,1,0,0,0,0,0,0,0,Between -11 and 5
345,Silver,107.868,0.0,0.0,,1,0,0,0,106.905,106.905,0,1,0,0,0,0,0,0,0,Larger than 6
346,Phorbol 12-myristate 13-acetate,616.8,130.0,1150.0,6.5,44,3,8,17,616.398,616.398,0,1,0,8,8,0,0,0,0,Larger than 6
347,(-)-Mefloquine,378.31,45.2,483.0,3.6,26,2,9,2,378.117,378.117,0,1,0,2,2,0,0,0,0,Between -11 and 5
348,Atorvastatin,558.6,112.0,822.0,5.0,41,4,6,12,558.253,558.253,0,1,0,2,2,0,0,0,0,Between -11 and 5
349,Propranolol Hydrochloride,295.8,41.5,257.0,,20,3,3,6,295.134,295.134,0,2,0,1,0,1,0,0,0,Larger than 6
350,Oseltamivir,312.4,90.6,418.0,1.1,22,2,5,8,312.205,312.205,0,1,0,3,3,0,0,0,0,Between -11 and 5
351,"2,4,6-Trinitro-m-xylene",241.16,138.0,317.0,2.0,17,0,6,0,241.033,241.033,0,1,0,0,0,0,0,0,0,Between -11 and 5
352,Argatroban,508.6,189.0,887.0,1.3,35,5,8,9,508.247,508.247,0,1,0,4,3,1,0,0,0,Between -11 and 5
353,Lopinavir,628.8,120.0,940.0,5.9,46,4,5,15,628.362,628.362,0,1,0,4,4,0,0,0,0,Larger than 6
354,Allopregnanolone,318.5,37.3,500.0,4.9,23,1,2,1,318.256,318.256,0,1,0,8,8,0,0,0,0,Between -11 and 5
355,Fingolimod,307.5,66.5,258.0,4.2,22,3,3,12,307.251,307.251,0,1,0,0,0,0,0,0,0,Between -11 and 5
356,Imatinib Mesylate,589.7,149.0,799.0,,42,3,10,7,589.247,589.247,0,2,0,0,0,0,0,0,0,Larger than 6
357,Meldonium,146.19,52.2,112.0,-2.1,10,1,3,3,146.106,146.106,0,1,0,0,0,0,0,0,0,Between -11 and 5
358,Ramatroban,416.5,96.8,689.0,2.9,29,2,6,6,416.121,416.121,0,1,0,1,1,0,0,0,0,Between -11 and 5
359,Ivabradine,468.6,60.5,663.0,2.4,34,0,6,10,468.262,468.262,0,1,0,1,1,0,0,0,0,Between -11 and 5
360,Moxifloxacin,401.4,82.1,727.0,0.6,29,2,8,4,401.175,401.175,0,1,0,2,2,0,0,0,0,Between -11 and 5
361,Varespladib,380.4,112.0,589.0,2.8,28,2,5,8,380.137,380.137,0,1,0,0,0,0,0,0,0,Between -11 and 5
362,Naproxen,230.26,46.5,277.0,3.3,17,1,3,3,230.094,230.094,0,1,0,1,1,0,0,0,0,Between -11 and 5
363,Dabigatran,471.5,150.0,757.0,1.7,35,4,7,9,471.202,471.202,0,1,0,0,0,0,0,0,0,Between -11 and 5
364,Senicapoc,323.3,43.1,397.0,4.1,24,1,3,4,323.112,323.112,0,1,0,0,0,0,0,0,0,Between -11 and 5
365,Povidone iodine,364.95,20.3,120.0,,10,0,1,1,364.877,364.877,0,2,0,0,0,0,0,0,0,Larger than 6
366,beta-L-Arabinose,150.13,90.2,117.0,-2.5,10,4,5,0,150.053,150.053,0,1,0,4,4,0,0,0,0,Between -11 and 5
367,Quinidine,324.4,45.6,457.0,2.9,24,1,4,4,324.184,324.184,0,1,0,4,4,0,0,0,0,Between -11 and 5
368,Pectin,194.14,127.0,205.0,-2.3,13,5,7,1,194.043,194.043,0,1,0,5,5,0,0,0,0,Between -11 and 5
369,Fluticasone Propionate,500.6,106.0,984.0,4.0,34,1,9,6,500.184,500.184,0,1,0,9,9,0,0,0,0,Between -11 and 5
370,Decitabine,228.21,121.0,356.0,-1.2,16,3,4,2,228.086,228.086,0,1,0,3,3,0,0,0,0,Between -11 and 5
371,Bucillamine,223.3,68.4,218.0,0.4,13,4,5,4,223.034,223.034,0,1,0,1,1,0,0,0,0,Between -11 and 5
372,Canrenoic acid,358.5,74.6,707.0,1.9,26,2,4,3,358.214,358.214,0,1,0,6,6,0,0,0,0,Between -11 and 5
373,"(S)-[2,8-bis(trifluoromethyl)quinolin-4-yl]-[(2S)-piperidin-2-yl]methanol",378.31,45.2,483.0,3.6,26,2,9,2,378.117,378.117,0,1,0,2,2,0,0,0,0,Between -11 and 5
374,"(-)-(S)-9-Fluoro-2,3-dihydro-3-methyl-10-(4-methyl-1-piperazinyl)-7-oxo-7H-pyrido(1,2,3-de)-1,4-benzoxazine-6-carboxylic acid, hemihydrate",740.7,148.0,634.0,,53,3,17,4,740.298,740.298,0,3,0,2,2,0,0,0,0,Larger than 6
375,"(S,S)-Formoterol",344.4,90.8,388.0,1.8,25,4,5,8,344.174,344.174,0,1,0,2,2,0,0,0,0,Between -11 and 5
376,Glatiramer acetate,623.7,374.0,519.0,,43,12,18,13,623.301,623.301,0,5,0,4,4,0,0,0,0,Larger than 6
377,Isoquercetin,464.4,207.0,758.0,0.4,33,8,12,4,464.095,464.095,0,1,0,5,5,0,0,0,0,Between -11 and 5
378,Pitavastatin,421.5,90.6,631.0,3.5,31,3,6,8,421.169,421.169,0,1,0,2,2,0,1,1,0,Between -11 and 5
379,Deoxy-methyl-arginine,172.23,108.0,174.0,-1.8,12,3,3,5,172.132,172.132,0,1,0,1,1,0,0,0,0,Between -11 and 5
380,Dexmedetomidine,200.28,28.7,205.0,3.1,15,1,1,2,200.131,200.131,0,1,0,1,1,0,0,0,0,Between -11 and 5
381,Nafamostat mesylate,539.6,266.0,645.0,,36,6,10,5,539.114,539.114,0,3,0,0,0,0,0,0,0,Larger than 6
382,Bromhexine Hydrochloride,412.59,29.3,256.0,,19,2,2,3,411.974,409.976,0,2,0,0,0,0,0,0,0,Larger than 6
383,Tenofovir Disoproxil Fumarate,635.5,260.0,817.0,,43,3,18,19,635.184,635.184,0,2,0,1,1,0,1,1,0,Larger than 6
384,Eritoran,1313.7,294.0,1900.0,15.4,89,7,19,59,1312.84,1312.84,0,1,0,11,11,0,1,1,0,Larger than 6
385,Icatibant acetate,1364.6,589.0,2750.0,,96,16,20,30,1363.68,1363.68,0,2,0,12,12,0,0,0,0,Larger than 6
386,Dalcetrapib,389.6,71.5,481.0,7.1,27,1,3,9,389.239,389.239,0,1,0,0,0,0,0,0,0,Larger than 6
387,"7-[[(2Z)-2-ethoxyimino-2-[5-(phosphonoamino)-1,2,4-thiadiazol-3-yl]acetyl]amino]-3-[[4-(1-methylpyridin-1-ium-4-yl)-1,3-thiazol-2-yl]sulfanyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",685.7,328.0,1220.0,1.6,43,5,17,11,685.018,685.018,1,1,0,2,0,2,1,1,0,Between -11 and 5
388,Icosapent ethyl,330.5,26.3,425.0,6.3,24,0,2,15,330.256,330.256,0,1,0,0,0,0,5,5,0,Larger than 6
389,"1-Piperazinecarboxamide, 4-methyl-N-((1S)-2-oxo-2-(((1S)-1-(2-phenylethyl)-3-(phenylsulfonyl)-2-propenyl)amino)-1-(phenylmethyl)ethyl)-",574.7,107.0,939.0,4.1,41,2,5,11,574.261,574.261,0,1,0,2,2,0,1,1,0,Between -11 and 5
390,Remimazolam,439.3,69.4,601.0,3.4,28,0,5,5,438.069,438.069,0,1,0,1,1,0,0,0,0,Between -11 and 5
391,Azithromycin Monohydrate,767.0,181.0,1150.0,,53,6,15,7,766.519,766.519,0,2,0,18,18,0,0,0,0,Larger than 6
392,Danoprevir,731.8,189.0,1530.0,3.3,51,3,10,8,731.3,731.3,0,1,0,5,5,0,1,1,0,Between -11 and 5
393,Mitoquinone,583.7,52.6,886.0,9.4,42,0,4,16,583.298,583.298,1,1,0,0,0,0,0,0,0,Larger than 6
394,Belnacasan,509.0,140.0,818.0,2.3,35,3,7,8,508.209,508.209,0,1,0,4,4,0,0,0,0,Between -11 and 5
395,Apilimod mesylate,610.7,210.0,637.0,,41,3,14,8,610.188,610.188,0,3,0,0,0,0,1,1,0,Larger than 6
396,Losmapimod,383.5,71.1,573.0,3.8,28,2,4,6,383.201,383.201,0,1,0,0,0,0,0,0,0,Between -11 and 5
397,Emtricitabine and tenofovir disoproxil fumarate,882.8,374.0,1190.0,,59,5,23,21,882.227,882.227,0,3,0,3,3,0,1,1,0,Larger than 6
398,Dapansutrile,133.17,66.3,190.0,-0.7,8,0,3,2,133.02,133.02,0,1,0,0,0,0,0,0,0,Between -11 and 5
399,"(S)-[2,8-bis(trifluoromethyl)quinolin-4-yl]-piperidin-2-ylmethanol",378.31,45.2,483.0,3.6,26,2,9,2,378.117,378.117,0,1,0,2,1,1,0,0,0,Between -11 and 5
400,Tridecactide,1623.8,659.0,3240.0,-6.2,115,23,24,50,1622.77,1622.77,0,1,0,12,12,0,0,0,0,Between -11 and 5
401,Aviptadil,3326.8,1470.0,7580.0,-15.9,234,51,51,115,3325.74,3324.74,0,1,0,31,31,0,0,0,0,Smaller than -10
402,Pamapimod,406.4,108.0,591.0,2.4,29,3,9,8,406.145,406.145,0,1,0,0,0,0,0,0,0,Between -11 and 5
403,Sodium pyruvate,110.04,57.2,88.2,,7,0,3,1,109.998,109.998,0,2,0,0,0,0,0,0,0,Larger than 6
404,Brequinar sodium,397.3,53.0,557.0,,29,0,5,3,397.089,397.089,0,2,0,0,0,0,0,0,0,Larger than 6
405,Montelukast Sodium,608.2,98.6,898.0,,42,1,5,12,607.192,607.192,0,2,0,1,1,0,1,1,0,Larger than 6
406,Sivelestat sodium anhydrous,456.4,150.0,738.0,,31,2,8,9,456.097,456.097,0,2,0,0,0,0,0,0,0,Larger than 6
407,Methylprednisolone sodium succinate,496.5,141.0,988.0,,35,2,8,7,496.207,496.207,0,2,0,8,8,0,0,0,0,Larger than 6
408,Bromelains,248.25,81.6,344.0,,17,1,3,4,248.114,248.114,0,2,0,2,0,2,0,0,0,Larger than 6
409,Fostamatinib disodium,732.5,198.0,893.0,,48,8,21,9,732.176,732.176,0,9,0,0,0,0,0,0,0,Larger than 6
410,Phosphate-Buffered Saline,411.04,164.0,96.3,,17,3,10,0,409.765,409.765,0,9,0,0,0,0,0,0,0,Larger than 6
411,4'-C-Azido-2'-deoxy-2'-fluoro-b-D-arabinocytidine,286.22,123.0,533.0,-0.8,20,3,7,3,286.083,286.083,0,1,0,4,0,4,1,0,1,Between -11 and 5
412,5-Chloro-2-([(2-([3-(furan-2-yl)phenyl]amino)-2-oxoethoxy)acetyl]amino)benzoic acid,428.8,118.0,618.0,3.3,30,3,6,8,428.078,428.078,0,1,0,0,0,0,0,0,0,Between -11 and 5
413,"[(2R,3S,4R)-4-acetyloxy-3,6-dihydroxyoxan-2-yl]methyl acetate",248.23,102.0,290.0,-1.0,17,2,7,5,248.09,248.09,0,1,0,4,3,1,0,0,0,Between -11 and 5
414,Ketone Ester,176.21,66.8,135.0,-0.1,12,2,4,6,176.105,176.105,0,1,0,2,2,0,0,0,0,Between -11 and 5
415,CID 45114162,520.6,152.0,761.0,,34,2,10,9,520.123,520.123,1,2,0,2,2,0,1,1,0,Larger than 6
416,Alvelestat,545.5,123.0,1100.0,2.5,38,1,9,6,545.134,545.134,0,1,0,0,0,0,0,0,0,Between -11 and 5
417,Emvododstat,467.3,54.6,651.0,6.3,32,1,3,4,466.085,466.085,0,1,0,1,1,0,0,0,0,Larger than 6
418,8-chloro-N-[4-(trifluoromethoxy)phenyl]quinolin-2-amine,338.71,34.2,388.0,5.9,23,1,6,3,338.043,338.043,0,1,0,0,0,0,0,0,0,Larger than 6
419,Riamilovir sodium dihydrate,286.2,152.0,262.0,,18,2,10,1,286.01,286.01,0,4,0,0,0,0,0,0,0,Larger than 6
420,Doxycycline hyclate,545.0,203.0,958.0,,37,9,11,2,544.182,544.182,0,4,0,6,6,0,0,0,0,Larger than 6
421,Budesonide and formoterol fumarate dihydrate,774.9,184.0,1250.0,,56,6,11,12,774.409,774.409,0,2,0,11,10,1,0,0,0,Larger than 6
422,Vafidemstat,336.4,86.2,410.0,2.2,25,2,6,7,336.159,336.159,0,1,0,2,2,0,0,0,0,Between -11 and 5
423,Ledipasvir,889.0,175.0,1820.0,7.4,65,4,10,12,888.413,888.413,0,1,0,6,6,0,0,0,0,Larger than 6
424,Telacebec,557.0,58.9,796.0,7.9,39,1,7,7,556.185,556.185,0,1,0,0,0,0,0,0,0,Larger than 6
425,Acebilustat,481.5,79.0,728.0,2.2,36,1,7,8,481.2,481.2,0,1,0,2,2,0,0,0,0,Between -11 and 5
426,Quinidine monohydrate,342.4,46.6,457.0,,25,2,5,4,342.194,342.194,0,2,0,4,4,0,0,0,0,Larger than 6
427,Dexamethasone phosphate disodium,518.4,141.0,973.0,,34,4,9,4,518.146,518.146,0,3,0,8,8,0,0,0,0,Larger than 6
428,Montmorillonite,360.31,141.0,18.3,,18,1,12,0,359.825,359.825,0,10,0,0,0,0,0,0,0,Larger than 6
429,methyl N-[(2R)-2-[2-[5-[4-[4-[2-[1-[(2S)-2-(methoxycarbonylamino)-3-methyl-butanoyl]pyrrolidin-2-yl]-1H-imidazol-5-yl]phenyl]phenyl]-1H-imidazol-2-yl]pyrrolidine-1-carbonyl]-3-methyl-butyl]carbamate,752.9,175.0,1300.0,5.0,55,4,8,14,752.401,752.401,0,1,0,4,2,2,0,0,0,Between -11 and 5
430,Nadide sodium,685.4,324.0,1110.0,,45,6,18,11,685.091,685.091,0,2,0,8,8,0,0,0,0,Larger than 6
431,"(6R,7R)-7-[[(2E)-2-ethoxyimino-2-[5-(phosphonoamino)-1,2,4-thiadiazol-3-yl]acetyl]amino]-3-[[4-(1-methylpyridin-1-ium-4-yl)-1,3-thiazol-2-yl]sulfanyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",684.7,330.0,1210.0,2.3,43,4,17,10,684.01,684.01,0,1,0,2,2,0,1,1,0,Between -11 and 5
432,"3-Deoxy-3-[4-(3-Fluorophenyl)-1h-1,2,3-Triazol-1-Yl]-Beta-D-Galactopyranosyl 3-Deoxy-3-[4-(3-Fluorophenyl)-1h-1,2,3-Triazol-1-Yl]-1-Thio-Beta-D-Galactopyranoside",648.6,227.0,903.0,0.2,45,6,15,8,648.181,648.181,0,1,0,10,10,0,0,0,0,Between -11 and 5
433,"N-[(2S,3S,4R)-1-(alpha-D-galactopyranosyloxy)-3,4-dihydroxyoctadecan-2-yl]undecanamide",647.9,169.0,700.0,7.9,45,7,9,29,647.497,647.497,0,1,0,8,8,0,0,0,0,Larger than 6
434,Brensocatib,420.5,104.0,699.0,2.0,31,2,6,5,420.18,420.18,0,1,0,2,2,0,0,0,0,Between -11 and 5
435,Ezurpimtrostat,423.0,40.2,520.0,5.9,30,2,4,6,422.224,422.224,0,1,0,0,0,0,0,0,0,Larger than 6
436,Dexamethasone 21-phosphate disodium salt,548.5,141.0,973.0,,36,4,9,4,548.193,548.193,0,4,0,8,8,0,0,0,0,Larger than 6
437,Enpatoran,320.31,65.9,472.0,2.7,23,1,7,1,320.125,320.125,0,1,0,2,2,0,0,0,0,Between -11 and 5
438,H-D-Lys-D-Leu-D-Leu-D-Leu-D-Leu-D-Lys-D-Leu-D-Leu-D-Leu-D-Leu-D-Lys-D-Leu-D-Leu-D-Leu-D-Leu-D-Lys-D-Leu-D-Leu-D-Leu-D-Leu-D-Lys-OH,2469.4,775.0,4880.0,11.9,174,27,28,93,2468.83,2467.83,0,1,0,21,21,0,0,0,0,Larger than 6
439,CID 131844884,1738.2,873.0,3450.0,,101,19,52,30,1736.85,1736.85,0,11,0,25,25,0,0,0,0,Larger than 6
440,Folic Acid,441.4,209.0,767.0,-1.1,32,6,10,9,441.14,441.14,0,1,0,1,1,0,0,0,0,Between -11 and 5
441,Inosine pranobex,1115.2,399.0,658.0,,79,13,22,14,1114.55,1114.55,0,7,0,7,4,3,0,0,0,Larger than 6
442,Eltrombopag,442.5,115.0,812.0,5.4,33,3,7,5,442.164,442.164,0,1,0,0,0,0,0,0,0,Larger than 6
443,Rintatolimod,995.6,517.0,1600.0,,65,15,27,12,995.135,995.135,0,3,0,12,12,0,0,0,0,Larger than 6
444,Normosang,792.7,260.0,1180.0,,55,8,10,13,792.305,792.305,2,3,0,1,1,0,0,0,0,Larger than 6
445,Artecom,1294.4,485.0,1380.0,,84,15,31,12,1293.31,1293.31,0,6,0,8,8,0,0,0,0,Larger than 6
446,Imunovir; Delimmun; Groprinosin;Inosine pranobex,1115.2,399.0,658.0,,79,13,22,14,1114.55,1114.55,0,7,0,7,0,7,0,0,0,Larger than 6
447,"1-(4-fluorobenzene-6-id-1-yl)-N-phenylmethanimine;iridium(3+);1,2,3,4,5-pentamethylcyclopenta-1,3-diene;chloride",561.1,12.4,601.0,,27,0,5,1,561.121,561.121,0,4,0,0,0,0,0,0,0,Larger than 6
448,EIDD-2801,329.31,141.0,534.0,-0.8,23,4,7,6,329.122,329.122,0,1,0,4,4,0,0,0,0,Between -11 and 5
449,CID 154701548,287.21,143.0,435.0,,18,3,8,1,287.017,287.017,0,4,0,0,0,0,0,0,0,Larger than 6
450,"alpha-D-Glucopyranoside, methyl O-2-deoxy-6-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranosyl-(1-->4)-O-beta-D-glucopyranuronosyl-(1-->4)-O-2-deoxy-3,6-di-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranosyl-(1-->4)-O-2-O-sulfo-alpha-L-idopyranuronosyl-(1-->4)-2-deoxy-2-(sulfoamino)-, 6-(hydrogen sulfate), sodium salt (1:10)",1531.3,873.0,3450.0,,92,19,52,30,1529.94,1529.94,0,2,0,25,25,0,0,0,0,Larger than 6
451,"propan-2-yl (2S)-2-[[[(2R,3R,4R,5R)-5-[2-amino-6-(methylamino)purin-9-yl]-4-fluoro-3-hydroxy-4-methyloxolan-2-yl]methoxy-phenoxyphosphoryl]amino]propanoate;sulfuric acid",679.6,268.0,1000.0,,45,6,18,12,679.184,679.184,0,2,0,6,5,1,0,0,0,Larger than 6
452,Ensitrelvir,531.9,114.0,919.0,2.5,37,1,8,6,531.115,531.115,0,1,0,0,0,0,0,0,0,Between -11 and 5
453,"3,4-Methylenedioxymethamphetamine",193.24,30.5,186.0,2.2,14,1,3,3,193.11,193.11,0,1,0,1,0,1,0,0,0,Between -11 and 5
454,Acetaminophen,151.16,49.3,139.0,0.5,11,2,2,1,151.063,151.063,0,1,0,0,0,0,0,0,0,Between -11 and 5
455,Amiodarone,645.3,42.7,547.0,7.6,31,0,4,11,645.024,645.024,0,1,0,0,0,0,0,0,0,Larger than 6
456,Verapamil,454.6,64.0,606.0,3.8,33,0,6,13,454.283,454.283,0,1,0,1,0,1,0,0,0,Between -11 and 5
457,Candesartan,440.5,119.0,660.0,4.1,33,2,7,7,440.16,440.16,0,1,0,0,0,0,0,0,0,Between -11 and 5
458,Chlordiazepoxide,299.75,48.2,580.0,2.4,21,1,3,1,299.083,299.083,0,1,0,0,0,0,0,0,0,Between -11 and 5
459,Chloroquine,319.9,28.2,309.0,4.6,22,1,3,8,319.182,319.182,0,1,0,1,0,1,0,0,0,Between -11 and 5
460,Deferoxamine,560.7,206.0,739.0,-2.1,39,6,9,23,560.353,560.353,0,1,0,0,0,0,0,0,0,Between -11 and 5
461,Famotidine,337.5,238.0,469.0,-0.6,20,4,8,7,337.045,337.045,0,1,0,0,0,0,1,0,1,Between -11 and 5
462,Fenofibrate,360.8,52.6,458.0,5.2,25,0,4,7,360.113,360.113,0,1,0,0,0,0,0,0,0,Larger than 6
463,Ketamine,237.72,29.1,269.0,2.2,16,1,2,2,237.092,237.092,0,1,0,1,0,1,0,0,0,Between -11 and 5
464,Lansoprazole,369.4,87.1,480.0,2.8,25,1,8,5,369.076,369.076,0,1,0,1,0,1,0,0,0,Between -11 and 5
465,Metformin,129.16,91.5,132.0,-1.3,9,3,1,2,129.101,129.101,0,1,0,0,0,0,0,0,0,Between -11 and 5
466,Nafamostat,347.4,141.0,552.0,2.0,26,4,4,5,347.138,347.138,0,1,0,0,0,0,0,0,0,Between -11 and 5
467,Palmitoylethanolamide,299.5,49.3,219.0,6.2,21,2,2,16,299.282,299.282,0,1,0,0,0,0,0,0,0,Larger than 6
468,Pioglitazone,356.4,93.6,466.0,3.8,25,1,5,7,356.119,356.119,0,1,0,1,0,1,0,0,0,Between -11 and 5
469,Propofol,178.27,20.2,135.0,3.8,13,1,1,2,178.136,178.136,0,1,0,0,0,0,0,0,0,Between -11 and 5
470,Sevoflurane,200.05,9.2,121.0,2.8,12,0,8,2,200.007,200.007,0,1,0,0,0,0,0,0,0,Between -11 and 5
471,Tranexamic acid,157.21,63.3,139.0,-2.0,11,2,3,2,157.11,157.11,0,1,0,0,0,0,0,0,0,Between -11 and 5
472,Prednisolone,360.4,94.8,724.0,1.6,26,3,5,2,360.194,360.194,0,1,0,7,7,0,0,0,0,Between -11 and 5
